name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,country,rating_category,rating_with_category,movie_summary
The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama;,18 July 2008,9.0,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.0 (High),The Dark Knight (2008) - Rating: 9.0
Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi;,16 July 2010,8.8,1981675,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.8 (High),Inception (2010) - Rating: 8.8
The Matrix,1999,R,2h 16min,Action; Sci-Fi;,31 March 1999,8.7,1619761,4281,https://www.imdb.com/title/tt0133093/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.7 (High),The Matrix (1999) - Rating: 8.7
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58min,Action; Adventure; Drama;,19 December 2001,8.8,1609165,5365,https://www.imdb.com/title/tt0120737/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.8 (High),The Lord of the Rings: The Fellowship of the Ring (2001) - Rating: 8.8
The Dark Knight Rises,2012,PG-13,2h 44min,Action; Adventure;,20 July 2012,8.4,1470329,2979,https://www.imdb.com/title/tt1345836/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.4 (High),The Dark Knight Rises (2012) - Rating: 8.4
Gladiator,2000,R,2h 35min,Action; Adventure; Drama;,5 May 2000,8.5,1297718,2636,https://www.imdb.com/title/tt0172495/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.5 (High),Gladiator (2000) - Rating: 8.5
Batman Begins,2005,PG-13,2h 20min,Action; Adventure;,15 June 2005,8.2,1269027,2885,https://www.imdb.com/title/tt0372784/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.2 (High),Batman Begins (2005) - Rating: 8.2
The Avengers,2012,PG-13,2h 23min,Action; Adventure; Sci-Fi;,4 May 2012,8.0,1236048,1929,https://www.imdb.com/title/tt0848228/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),The Avengers (2012) - Rating: 8.0
Star Wars: Episode IV - A New Hope,1977,PG,2h 1min,Action; Adventure; Fantasy;,25 May 1977,8.6,1197132,1834,https://www.imdb.com/title/tt0076759/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.6 (High),Star Wars: Episode IV - A New Hope (1977) - Rating: 8.6
Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4min,Action; Adventure; Fantasy;,20 June 1980,8.7,1124834,1214,https://www.imdb.com/title/tt0080684/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.7 (High),Star Wars: Episode V - The Empire Strikes Back (1980) - Rating: 8.7
Avatar,2009,PG-13,2h 42min,Action; Adventure; Fantasy;,18 December 2009,7.8,1096125,3415,https://www.imdb.com/title/tt0499549/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),Avatar (2009) - Rating: 7.8
Guardians of the Galaxy,2014,PG-13,2h 1min,Action; Adventure; Comedy;,1 August 2014,8.0,1017405,1390,https://www.imdb.com/title/tt2015381/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),Guardians of the Galaxy (2014) - Rating: 8.0
V for Vendetta,2005,R,2h 12min,Action; Drama; Sci-Fi;,17 March 2006,8.2,1002944,2205,https://www.imdb.com/title/tt0434409/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.2 (High),V for Vendetta (2005) - Rating: 8.2
Léon: The Professional,1994,R,1h 50min,Action; Crime; Drama;,18 November 1994,8.5,999596,1193,https://www.imdb.com/title/tt0110413/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.5 (High),Léon: The Professional (1994) - Rating: 8.5
