name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,country,rating_category,rating_with_category,movie_summary
The Shawshank Redemption,1994,R,2h 22min,Drama; ,14 October 1994,9.3,2258845,8022,https://www.imdb.com/title/tt0111161/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.3 (High),The Shawshank Redemption (1994) - Rating: 9.3
The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008,9.0,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.0 (High),The Dark Knight (2008) - Rating: 9.0
Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010,8.8,1981675,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.8 (High),Inception (2010) - Rating: 8.8
Fight Club,1999,R,2h 19min,Drama; ,15 October 1999,8.8,1794454,3719,https://www.imdb.com/title/tt0137523/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.8 (High),Fight Club (1999) - Rating: 8.8
Pulp Fiction,1994,R,2h 34min,Crime; Drama; ,14 October 1994,8.9,1767445,3014,https://www.imdb.com/title/tt0110912/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.9 (High),Pulp Fiction (1994) - Rating: 8.9
Forrest Gump,1994,PG-13,2h 22min,Drama; Romance; ,6 July 1994,8.8,1741097,2354,https://www.imdb.com/title/tt0109830/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.8 (High),Forrest Gump (1994) - Rating: 8.8
The Matrix,1999,R,2h 16min,Action; Sci-Fi; ,31 March 1999,8.7,1619761,4281,https://www.imdb.com/title/tt0133093/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.7 (High),The Matrix (1999) - Rating: 8.7
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58min,Action; Adventure; Drama; ,19 December 2001,8.8,1609165,5365,https://www.imdb.com/title/tt0120737/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.8 (High),The Lord of the Rings: The Fellowship of the Ring (2001) - Rating: 8.8
The Lord of the Rings: The Return of the King,2003,PG-13,3h 21min,Adventure; Drama; Fantasy; ,17 December 2003,8.9,1593859,3681,https://www.imdb.com/title/tt0167260/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.9 (High),The Lord of the Rings: The Return of the King (2003) - Rating: 8.9
The Godfather,1972,R,2h 55min,Crime; Drama; ,24 March 1972,9.2,1558661,3886,https://www.imdb.com/title/tt0068646/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.2 (High),The Godfather (1972) - Rating: 9.2
