name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,country,rating_category,rating_with_category,movie_summary
The Shawshank Redemption,1994,R,2h 22min,Drama; ,14 October 1994,9.3,2258845,8022,https://www.imdb.com/title/tt0111161/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.3 (High),The Shawshank Redemption (1994) - Rating: 9.3
The Godfather,1972,R,2h 55min,Crime; Drama; ,24 March 1972,9.2,1558661,3886,https://www.imdb.com/title/tt0068646/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.2 (High),The Godfather (1972) - Rating: 9.2
The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008,9.0,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.0 (High),The Dark Knight (2008) - Rating: 9.0
The Godfather: Part II,1974,R,3h 22min,Crime; Drama; ,18 December 1974,9.0,1089268,1007,https://www.imdb.com/title/tt0071562/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.0 (High),The Godfather: Part II (1974) - Rating: 9.0
Pulp Fiction,1994,R,2h 34min,Crime; Drama; ,14 October 1994,8.9,1767445,3014,https://www.imdb.com/title/tt0110912/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.9 (High),Pulp Fiction (1994) - Rating: 8.9
The Lord of the Rings: The Return of the King,2003,PG-13,3h 21min,Adventure; Drama; Fantasy; ,17 December 2003,8.9,1593859,3681,https://www.imdb.com/title/tt0167260/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.9 (High),The Lord of the Rings: The Return of the King (2003) - Rating: 8.9
12 Angry Men,1957,Approved,1h 36min,Crime; Drama; ,10 April 1957,8.9,661761,1575,https://www.imdb.com/title/tt0050083/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.9 (High),12 Angry Men (1957) - Rating: 8.9
The Mountain II,2016,Null,2h 15min,Action; Drama; War; ,4 November 2016,8.9,103674,146,https://www.imdb.com/title/tt5813916/reviews/_ajax?ref_=undefined&paginationKey=,Turkey,High,8.9 (High),The Mountain II (2016) - Rating: 8.9
Schindler's List,1993,R,3h 15min,Biography; Drama; History; ,4 February 1994,8.9,1173324,1814,https://www.imdb.com/title/tt0108052/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.9 (High),Schindler's List (1993) - Rating: 8.9
Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010,8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.8 (High),Inception (2010) - Rating: 8.8
